team,elo_rating
ABKHAZIA,976.0766841878767
AFGHANISTAN,1255.6478896190056
ALBANIA,1925.9399523049735
ALDERNEY,585.7447965466055
ALGERIA,2070.726051541069
AMBAZONIA,741.4326673115031
AMERICAN SAMOA,627.5549469568817
ANDALUSIA,1012.0190211504324
ANDORRA,1270.3014247162694
ANGOLA,1732.5136310256432
ANGUILLA,719.2573287044531
ANTIGUA AND BARBUDA,1144.1089375646836
ARAMEANS SURYOYE,870.9444911980046
ARGENTINA,2435.4608591556935
ARMENIA,1726.1409874418823
ARTSAKH,896.874940302536
ARUBA,1084.8255410682345
ASTURIAS,814.225711297083
AUSTRALIA,2121.7382909151092
AUSTRIA,2138.6386961760977
AYMARA,774.899534231584
AZERBAIJAN,1657.3676733444577
BAHAMAS,852.0310987796098
BAHRAIN,1795.765022402574
BANGLADESH,1223.1144040830038
BARAWA,771.6612844104279
BARBADOS,1060.0511476274655
BASQUE COUNTRY,1510.818395819536
BELARUS,1802.2590413287535
BELGIUM,2222.0917595327537
BELIZE,1218.1007305667913
BENIN,1713.8618876836492
BERMUDA,1367.904429599389
BHUTAN,825.456724242035
BIAFRA,828.4506977322358
BOLIVIA,2026.7454511279539
BONAIRE,930.322492629404
BOSNIA AND HERZEGOVINA,1946.2349849033083
BOTSWANA,1593.0386734384265
BRAZIL,2330.1673931941
BRITISH VIRGIN ISLANDS,840.6668585468219
BRITTANY,904.3589773843889
BRUNEI,881.4967194269011
BULGARIA,1804.8853595974706
BURKINA FASO,1810.4026669940679
BURUNDI,1503.7581011641607
CAMBODIA,1123.874598172472
CAMEROON,1903.0809391317598
CANADA,2114.3068107245304
CANARY ISLANDS,875.7398953728539
CAPE VERDE,1837.7410404224654
CASCADIA,858.0360748214704
CATALONIA,1240.1365973632364
CAYMAN ISLANDS,956.6648251231329
CENTRAL AFRICAN REPUBLIC,1467.6940615543767
CENTRAL SPAIN,804.3688570734089
CHAD,1354.3997967140629
CHAGOS ISLANDS,724.3123159581856
CHAMERIA,850.5570116485625
CHECHNYA,775.1324342400262
CHILE,2093.054566695738
CHINA,1787.9901844614574
CILENTO,792.7381645769846
COLOMBIA,2312.98806077244
COMOROS,1613.7897419458495
CONGO,1473.1703822079012
COOK ISLANDS,772.4035274132648
CORSICA,946.5449415658217
COSTA RICA,1933.9951563694547
COUNTY OF NICE,902.9691981535389
CRIMEA,859.8315969652039
CROATIA,2250.7727303673596
CUBA,1436.8583215253223
CURAÇAO,1654.8445202756102
CYPRUS,1651.138939637402
CZECH REPUBLIC,2066.383739460801
CZECHOSLOVAKIA,1712.5452787650847
DARFUR,692.8849268342132
DENMARK,2180.9943842786834
DJIBOUTI,945.8041799220092
DOMINICA,1042.655161769446
DOMINICAN REPUBLIC,1425.133784748696
DONETSK PR,817.6029928525136
DR CONGO,1907.1533674393174
DÉLVIDÉK,804.7174373506753
EAST TURKESTAN,795.9048836019484
ECUADOR,2285.999916772555
EGYPT,1983.003947733986
EL SALVADOR,1619.8188747113006
ELBA ISLAND,823.9035637939772
ELLAN VANNIN,906.9778938168687
ENGLAND,2308.273613468582
EQUATORIAL GUINEA,1617.4633599652911
ERITREA,1077.0732162617392
ESTONIA,1692.2442552330428
ESWATINI,1443.9987920541819
ETHIOPIA,1548.863225732066
FALKLAND ISLANDS,708.2395367062005
FAROE ISLANDS,1631.8861181729026
FELVIDÉK,838.492985553915
FIJI,1334.198077631348
FINLAND,1866.1466219454896
FRANCE,2386.8730510174805
FRANCONIA,804.5379288122218
FRENCH GUIANA,1371.1755644504105
FRØYA,690.2621492832027
GABON,1711.0068988964197
GALICIA,895.7525873934972
GAMBIA,1637.2649228403134
GEORGIA,1939.733304937961
GERMAN DR,1649.9744457355687
GERMANY,2296.2647414931052
GHANA,1816.2385401206727
GIBRALTAR,1210.1432603006926
GOTLAND,875.8355903682934
GOZO,837.9371039806197
GREECE,2050.8289155477896
GREENLAND,947.4365074467058
GRENADA,1277.257358738969
GUADELOUPE,1471.3827077296462
GUAM,889.5777874701859
GUATEMALA,1772.7870317119252
GUERNSEY,1226.47908396098
GUINEA,1706.8775316261274
GUINEA-BISSAU,1502.2285346311864
GUYANA,1430.8006850230595
GĂGĂUZIA,794.076235906614
HAITI,1765.0100966569926
HITRA,772.658777785136
HMONG,791.7104124194823
HONDURAS,1849.4662972205058
HONG KONG,1426.5957565742267
HUNGARY,2080.9668363676433
ICELAND,1883.527455285755
INDIA,1428.2727128222627
INDONESIA,1729.6291254170706
IRAN,2095.5641229864177
IRAQ,2003.0980833911774
IRAQI KURDISTAN,966.2732136122991
ISLE OF MAN,1135.9148432332747
ISLE OF WIGHT,1110.989622738609
ISRAEL,1912.6464120062903
ITALY,2220.1802859866007
IVORY COAST,1985.6159454689016
JAMAICA,1813.2659642431854
JAPAN,2256.2703539165345
JERSEY,1285.57147208308
JORDAN,1985.8323231716388
KABYLIA,789.5982254051581
KAZAKHSTAN,1746.70222110555
KENYA,1612.3715847941432
KERNOW,947.4441098750185
KIRIBATI,714.4995577691075
KOSOVO,1964.883585296969
KURDISTAN,905.0820835242833
KUWAIT,1714.9006103650183
KYRGYZSTAN,1638.5305881297536
KÁRPÁTALJA,917.8042992175754
LAOS,1006.8122140428657
LATVIA,1569.223326559214
LEBANON,1609.3943145143653
LESOTHO,1562.155177236191
LIBERIA,1557.0943368056248
LIBYA,1696.0709316134737
LIECHTENSTEIN,1160.5603602001336
LITHUANIA,1579.4484564280242
LUHANSK PR,802.8200800356561
LUXEMBOURG,1728.826371297078
MACAU,804.4492885033691
MADAGASCAR,1626.433449078407
MADRID,796.0708828786561
MALAWI,1583.6411664967377
MALAYSIA,1655.3770472673818
MALDIVES,1084.737131431822
MALI,1848.549372861776
MALTA,1577.1976527271715
MANCHUKUO,772.0022572647608
MAPUCHE,807.9177465282557
MARSHALL ISLANDS,771.360475994592
MARTINIQUE,1504.6720553761274
MATABELELAND,826.1364396678838
MAULE SUR,836.0329521243682
MAURITANIA,1624.8921756487152
MAURITIUS,1308.0992522197248
MAYOTTE,1138.9015317720705
MENORCA,950.19450771786
MEXICO,2210.7089549988295
MICRONESIA,764.8258652111269
MOLDOVA,1551.4095672425988
MONACO,802.7784300502145
MONGOLIA,980.7974874091352
MONTENEGRO,1800.7429359641544
MONTSERRAT,1106.7899293415423
MOROCCO,2199.68803368248
MOZAMBIQUE,1669.582750899651
MYANMAR,1270.0128134952708
NAMIBIA,1587.5154778383273
NEPAL,1195.6158291643553
NETHERLANDS,2273.3934879204908
NEW CALEDONIA,1419.0804178527724
NEW ZEALAND,1798.6547309129478
NICARAGUA,1513.5198647062623
NIGER,1618.3484340653943
NIGERIA,2008.089442474635
NIUE,779.6077949691457
NORTH KOREA,1665.1114711240039
NORTH MACEDONIA,1899.0236171212714
NORTH VIETNAM,841.4921609825373
NORTHERN CYPRUS,1074.4530124696998
NORTHERN IRELAND,1906.8571071348272
NORTHERN MARIANA ISLANDS,703.335635433372
NORWAY,2175.923056108289
OCCITANIA,990.8175819118808
OMAN,1840.21284482171
ORKNEY,845.923506357552
PADANIA,1036.251837879006
PAKISTAN,1105.412098101137
PALAU,775.1744071384022
PALESTINE,1749.5638465723264
PANAMA,2022.4026679715148
PANJAB,890.1340445560055
PAPUA NEW GUINEA,1315.4878786603053
PARAGUAY,2212.4567549844455
PARISHES OF JERSEY,822.6677437927035
PERU,2071.3480585365182
PHILIPPINES,1480.2745722079749
POLAND,2081.562961223465
PORTUGAL,2300.954477738555
PROVENCE,834.9167321468401
PUERTO RICO,1268.001338518981
QATAR,1870.0762736390382
QUEBEC,838.8947882795641
RAETIA,773.7537368856067
REPUBLIC OF IRELAND,2028.04811672878
REPUBLIC OF ST. PAULI,816.2641694641932
RHODES,975.7360989391154
ROMANI PEOPLE,788.4717713639056
ROMANIA,1951.9236078086483
RUSSIA,2071.0279286542027
RWANDA,1634.0954964713449
RYŪKYŪ,788.9135271501742
RÉUNION,1308.5911080398569
SAARE COUNTY,775.3060297018345
SAARLAND,852.8203307899328
SAINT BARTHÉLEMY,818.5695058366421
SAINT HELENA,734.945525525146
SAINT KITTS AND NEVIS,1249.6065840763222
SAINT LUCIA,1204.8037898283321
SAINT MARTIN,1048.9857786138377
SAINT PIERRE AND MIQUELON,761.9979525909865
SAINT VINCENT AND THE GRENADINES,1303.9560017894569
SAMOA,915.458678454371
