team,elo_rating
SAN MARINO,911.7459051917895
SARK,736.6223999042235
SAUDI ARABIA,1958.0304219052578
SAUGEAIS,799.5152119000649
SCOTLAND,2113.092371478212
SEALAND,810.1845152795419
SEBORGA,791.5394039722152
SENEGAL,2080.5500699749696
SERBIA,2056.746808225856
SEYCHELLES,1042.9420080500136
SHETLAND,939.846784319197
SIERRA LEONE,1568.8910492088385
SILESIA,863.067106966766
SINGAPORE,1457.6799564500996
SINT MAARTEN,1052.4996312214116
SLOVAKIA,1998.8254728945226
SLOVENIA,2002.0004267235631
SOLOMON ISLANDS,1292.2286695791734
SOMALIA,942.529832948381
SOMALILAND,806.9650748032611
SOUTH AFRICA,1853.5196236300703
SOUTH KOREA,2142.3052811951275
SOUTH OSSETIA,835.6114731389731
SOUTH SUDAN,1249.869471252128
SOUTH YEMEN,797.472319442383
SPAIN,2407.624028429984
SRI LANKA,1048.1138331714392
SUDAN,1635.1366223980751
SURINAME,1620.6263403984406
SURREY,812.326106752273
SWEDEN,2059.761966427067
SWITZERLAND,2189.0613473261474
SYRIA,1751.6211575528184
SZÉKELY LAND,856.6847865268494
SÁPMI,842.4987215575646
SÃO TOMÉ AND PRÍNCIPE,1096.6243669326745
TAHITI,1326.1689923895412
TAIWAN,1145.397178456515
TAJIKISTAN,1579.200421972443
TAMIL EELAM,928.5668525156467
TANZANIA,1582.8344685970571
THAILAND,1724.6965577900653
TIBET,669.5165074252777
TICINO,770.3363023752289
TIMOR-LESTE,808.8877145407838
TOGO,1640.2844825667469
TONGA,733.0367117183999
TRINIDAD AND TOBAGO,1657.8760003907091
TUNISIA,1946.716160268008
TURKEY,2209.246028330639
TURKMENISTAN,1466.3363938267148
TURKS AND CAICOS ISLANDS,818.1154713837516
TUVALU,804.8217799624573
TWO SICILIES,762.843252714568
UGANDA,1691.3352045381298
UKRAINE,2089.928436483006
UNITED ARAB EMIRATES,1901.3379236374885
UNITED KOREANS IN JAPAN,838.4915913344106
UNITED STATES,2154.59120660516
UNITED STATES VIRGIN ISLANDS,782.161999829676
URUGUAY,2246.941055824824
UZBEKISTAN,2031.4101548990482
VANUATU,1313.6267537445576
VATICAN CITY,764.4073380619892
VENEZUELA,2112.7246570933803
VIETNAM,1691.486905223954
VIETNAM REPUBLIC,1062.0289038803296
WALES,2026.1858023033196
WALLIS ISLANDS AND FUTUNA,743.4517767882896
WEST PAPUA,788.1767284844724
WESTERN ARMENIA,850.417511630802
WESTERN AUSTRALIA,921.346927509978
WESTERN ISLES,882.4012006817549
WESTERN SAHARA,773.6960315532217
YEMEN,1425.8396315223004
YEMEN DPR,844.0232454065301
YNYS MÔN,1137.2167380102424
YORKSHIRE,866.9691672069093
YORUBA NATION,788.1189359707821
YUGOSLAVIA,1783.1884538106087
ZAMBIA,1704.3476032614035
ZANZIBAR,1472.9610952878777
ZIMBABWE,1626.812731962937
ÅLAND ISLANDS,957.516341853463
