date,tournament_type,home_team,away_team,home_score,away_score,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1882-02-25,Friendly,WALES,NORTHERN IRELAND,7,1,755.5612747292621,786.5925287523704,772.5508976037595,775.2661135027055
1882-03-11,Friendly,SCOTLAND,ENGLAND,5,1,918.2387723436016,814.6499317900153,928.468228130744,807.830294598587
1882-03-13,Friendly,WALES,ENGLAND,5,3,772.5508976037595,807.830294598587,787.0866677139487,798.1397811917942
1882-03-25,Friendly,SCOTLAND,WALES,5,0,928.468228130744,787.0866677139487,937.6802998255152,780.9452865841013
1883-02-03,Friendly,ENGLAND,WALES,5,0,798.1397811917942,780.9452865841013,812.3980406526598,771.4397802768575
1883-02-24,Friendly,ENGLAND,NORTHERN IRELAND,7,0,812.3980406526598,775.2661135027055,826.8732393209707,765.6159810571648
1883-03-10,Friendly,ENGLAND,SCOTLAND,2,3,826.8732393209707,937.6802998255152,821.0649552849276,946.39272587958
1883-03-12,Friendly,WALES,SCOTLAND,0,3,771.4397802768575,946.39272587958,766.5169377897719,953.7769896102084
1883-03-17,Friendly,NORTHERN IRELAND,WALES,1,1,765.6159810571648,766.5169377897719,765.6470989305433,766.4961925408529
1884-01-26,British Home Championship,NORTHERN IRELAND,SCOTLAND,0,5,765.6470989305433,953.7769896102084,758.0587260739499,965.1595488950985
1884-02-09,British Home Championship,WALES,NORTHERN IRELAND,6,0,766.4961925408529,758.0587260739499,789.3280356816808,742.8374973133979
1884-02-23,British Home Championship,NORTHERN IRELAND,ENGLAND,1,8,742.8374973133979,821.0649552849276,730.2246230100968,839.9842667398791
1884-03-15,British Home Championship,SCOTLAND,ENGLAND,1,0,965.1595488950985,839.9842667398791,977.5302857826125,831.7371088148698
